streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,duplicatePairing,notes
Valley Brook,CTDEP,CTDEP_1452,6105407,1,0,ONE,wetland
Hurricane Brook,CTDEP,CTDEP_2728,6105419,1,0,ONE,
Belden Brook,CTDEP,CTDEP_1084,6105443,1,0,ONE,no name confirmed with NHD plus
Belden Brook,CTDEP,CTDEP_2729,6105445,1,0,ONE,no name confirmed with NHD plus
Hubbard Brook,CTDEP,CTDEP_1156,6105951,1,0,ONE,
Sandy Brook,CTDEP,CTDEP_2217,6107083,1,0,ONE,
Sandy Brook,CTDEP,CTDEP_2218,6107083,1,0,ONE,
West Branch Salmon Brook,CTDEP,CTDEP_1433,6109085,1,0,ONE,no name confirmed with NHD plus
East Branch Salmon Brook,CTDEP,CTDEP_1083,6109087,1,0,ONE,
Salmon Brook,CTDEP,CTDEP_310,6109101,1,0,ONE,no name confirmed with NHD plus
West Branch Salmon Brook,CTDEP,CTDEP_359,6109107,1,0,ONE,no name confirmed with NHD plus
Salmon Brook,CTDEP,CTDEP_2450,6109121,1,0,ONE,no name confirmed with NHD plus
Morgan Brook,CTDEP,CTDEP_408,6109147,1,0,ONE,
Hop Brook,CTDEP,CTDEP_5949,6109183,1,0,ONE,
Hop Brook,CTDEP,CTDEP_2444,6109183,1,0,ONE,
Mill Brook,CTDEP,CTDEP_1918,6109201,1,0,ONE,
Cherry Brook,CTDEP,CTDEP_1513,6109219,1,0,ONE,
Bunnell Brook,CTDEP,CTDEP_2266,6109237,1,0,ONE,
Farmington River,CTDEP,CTDEP_5976,6109237,6109631,0,ONE,
Thompson Brook,CTDEP,CTDEP_1916,6109255,1,0,ONE,
Thompson Brook,CTDEP,CTDEP_1130,6109255,1,0,ONE,
Coppermine Brook,CTDEP,CTDEP_894,6109295,1,0,ONE,called Farmington River in NHD Plus but looks to be the correct spot.
Coppermine Brook,CTDEP,CTDEP_33,6109295,1,0,ONE,called Farmington River in NHD Plus but looks to be the correct spot.
Pequabuck River,CTDEP,CTDEP_711,6109299,1,0,ONE,
Pequabuck River,CTDEP,CTDEP_712,6109301,1,0,ONE,
Pequabuck River,CTDEP,CTDEP_399,6109303,1,0,ONE,
Pequabuck River,CTDEP,CTDEP_2215,6109303,1,0,ONE,
Pequabuck River,CTDEP,CTDEP_266,6109303,1,0,ONE,
Pequabuck River,CTDEP,CTDEP_265,6109305,1,0,ONE,
Roaring Brook,CTDEP,CTDEP_1081,6109459,1,0,ONE,
Negro Hill Brook,CTDEP,CTDEP_6009,6109469,1,0,ONE,
Pequabuck River,CTDEP,CTDEP_1974,6109473,1,0,ONE,Labelled Farmington in NHDplus but matches up correctly
Pequabuck River,CTDEP,CTDEP_267,6109479,1,0,ONE,Labelled Farmington in NHDplus but matches up correctly
Pequabuck River,CTDEP,CTDEP_258,6109479,1,0,ONE,Labelled Farmington in NHDplus but matches up correctly
Farmington River,CTDEP,CTDEP_2243,6109519,1,0,ONE,
West Branch Farmington River,CTDEP,CTDEP_6049,6109559,1,0,ONE,
West Branch Farmington River,CTDEP,CTDEP_6048,6109585,1,0,ONE,
FARMINGTON RIVER,CTDEP,CTDEP_741,6109615,1,0,ONE,
Farmington River,CTDEP,CTDEP_2275,6109631,1,0,ONE,
Farmington River,CTDEP,CTDEP_5975,6109641,1,0,ONE,
