streamName,agency,site,Issue
SOUTH RIVER,MADEP,MADEP_W0013_T1,logger out of water (beginning)
SOUTH RIVER,MADEP,MADEP_W0014_T1,logger out of water (beginning)
ROGERS BROOK,MADEP,MADEP_W0096_T1,
ELM BROOK,MADEP,MADEP_W0099_T1,
GRAVELLY BROOK,MADEP,MADEP_W0124_T1,
FISH BROOK,MADEP,MADEP_W0128_T1,
WESTFIELD RIVER,MADEP,MADEP_W0221_T1,
MIDDLE BRANCH WESTFIELD RIVER,MADEP,MADEP_W0263_T1,
WEST BRANCH,MADEP,MADEP_W0271_T1,
TROUT BROOK,MADEP,MADEP_W0408_T1,
FULLER BROOK,MADEP,MADEP_W0409_T1,
BOGASTOW BROOK,MADEP,MADEP_W0423_T1,
BEAVERDAM BROOK,MADEP,MADEP_W0448_T1,abnormal (cold)
GOLDTHWAIT BROOK,MADEP,MADEP_W0454_T1,abnormal (warm)
NISSITISSIT RIVER,MADEP,MADEP_W0486_T1,
SQUANNACOOK RIVER,MADEP,MADEP_W0487_T1,
WARE RIVER,MADEP,MADEP_W0494_T1,
CENTER BROOK,MADEP,MADEP_W0514_T1,abnormal (cold)
TRAPHOLE BROOK,MADEP,MADEP_W0551_T1,abnormal (cold)
BEAVER BROOK,MADEP,MADEP_W0557_T1,
NEPONSET RIVER,MADEP,MADEP_W0568_T1,
WEST BRANCH (PALMER RIVER),MADEP,MADEP_W0624_T1,
COLE RIVER,MADEP,MADEP_W0661_T1,
PALMER RIVER,MADEP,MADEP_W0665_T1,
SHUTE BROOK,MADEP,MADEP_W0877_T1,
BENNETTS POND BROOK,MADEP,MADEP_W0878_T1,
CAT BROOK,MADEP,MADEP_W0889_T1,
ROGERS BROOK,MADEP,MADEP_W0989_T1,
STILL RIVER,MADEP,MADEP_W0995_T1,abnormal (cold)
MULPUS BROOK,MADEP,MADEP_W0998_T1,
PETERS RIVER,MADEP,MADEP_W1022_T1,
CHICOPEE RIVER,MADEP,MADEP_W1031_T1,
MILL RIVER,MADEP,MADEP_W1061_T1,
WILLIAMS RIVER,MADEP,MADEP_W1098_T1,
HOUSATONIC RIVER,MADEP,MADEP_W1100_T1,abnormal (warm)
HUBBARD BROOK,MADEP,MADEP_W1113_T1,abnormal (warm)
KITCHEN BROOK,MADEP,MADEP_W1119_T1,abnormal (cold)
STOP RIVER,MADEP,MADEP_W1151_T1,
STONY BROOK,MADEP,MADEP_W1157_T1,
SQUANNACOOK RIVER,MADEP,MADEP_W1283_T1,
DRAGON BROOK,MADEP,MADEP_W1357_T1,
BEAR RIVER,MADEP,MADEP_W1358_T1,
HOWLETT BROOK,MADEP,MADEP_W1410_T1,
WESTFIELD RIVER,MADEP,MADEP_W1419_T1,
WEST RIVER,MADEP,MADEP_W1432_T1,
LITTLE RIVER,MADEP,MADEP_W1450_T1,
WESTFIELD RIVER,MADEP,MADEP_W1464_T1,
MILLER BROOK,MADEP,MADEP_W1548_T1,
HOOSIC RIVER,MADEP,MADEP_W1549_T1,
BROAD BROOK,MADEP,MADEP_W1552_T1,
EAST BRANCH GREEN RIVER,MADEP,MADEP_W1554_T1,
BASSETT BROOK,MADEP,MADEP_W1558_T1,
WILLIAMS RIVER,MADEP,MADEP_W1560_T1,abnormal (warm)
SACKETT BROOK,MADEP,MADEP_W1563_T1,
HUBBARD BROOK,MADEP,MADEP_W1571_T1,
SOUTHWEST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1573_T1,
EAST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1574_T1,
WEST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1575_T1,
MINE BROOK,MADEP,MADEP_W1588_T1,
SEAVERNS BROOK,MADEP,MADEP_W1590_T1,
CHARLES RIVER,MADEP,MADEP_W1718_T1,abnormal (warm)
CHARLES RIVER,MADEP,MADEP_W1719_T1,abnormal (warm)
CHARLES RIVER,MADEP,MADEP_W1720_T1,abnormal (warm)
CHARLES RIVER,MADEP,MADEP_W1721_T1,
CHARLES RIVER,MADEP,MADEP_W1722_T1,
EAST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1724_T1,
EAST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1725_T1,
EAST BRANCH GREEN RIVER,MADEP,MADEP_W1728_T1,
