streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,notes
SOUTH RIVER,MADEP,MADEP_W0013_T1,10294990,1,0,
SOUTH RIVER,MADEP,MADEP_W0014_T1,10294990,1,0,
ROGERS BROOK,MADEP,MADEP_W0096_T1,6745034,1,0,
ELM BROOK,MADEP,MADEP_W0099_T1,6747180,1,0,
GRAVELLY BROOK,MADEP,MADEP_W0124_T1,5860641,1,0,
FISH BROOK,MADEP,MADEP_W0128_T1,5860427,1,0,
WESTFIELD RIVER,MADEP,MADEP_W0221_T1,6096309,1,0,
MIDDLE BRANCH WESTFIELD RIVER,MADEP,MADEP_W0263_T1,6096217,1,0,
WEST BRANCH,MADEP,MADEP_W0271_T1,6096071,1,0,
TROUT BROOK,MADEP,MADEP_W0408_T1,5867443,1,0,
FULLER BROOK,MADEP,MADEP_W0409_T1,5867413,1,1,
BOGASTOW BROOK,MADEP,MADEP_W0423_T1,5867929,1,0,On a braided channel according to high res flowlines
BEAVERDAM BROOK,MADEP,MADEP_W0448_T1,5862609,1,0,
GOLDTHWAIT BROOK,MADEP,MADEP_W0454_T1,5860519,1,0,
NISSITISSIT RIVER,MADEP,MADEP_W0486_T1,6075395,1,0,
SQUANNACOOK RIVER,MADEP,MADEP_W0487_T1,6075551,1,0,
WARE RIVER,MADEP,MADEP_W0494_T1,7691403,1,0,
CENTER BROOK,MADEP,MADEP_W0514_T1,6115946,1,0,
TRAPHOLE BROOK,MADEP,MADEP_W0551_T1,5867589,1,0,
BEAVER BROOK,MADEP,MADEP_W0557_T1,5867609,1,0,
NEPONSET RIVER,MADEP,MADEP_W0568_T1,5867473,1,0,
WEST BRANCH (PALMER RIVER),MADEP,MADEP_W0624_T1,6128537,1,0,
COLE RIVER,MADEP,MADEP_W0661_T1,6128871,1,0,
PALMER RIVER,MADEP,MADEP_W0665_T1,6128637,1,0,
SHUTE BROOK,MADEP,MADEP_W0877_T1,5863713,1,1,
BENNETTS POND BROOK,MADEP,MADEP_W0878_T1,5866343,1,1,
CAT BROOK,MADEP,MADEP_W0889_T1,5860477,1,0,Coastal. Called Sawmill Brook by NHDPlus High Res
ROGERS BROOK,MADEP,MADEP_W0989_T1,6745034,1,0,
STILL RIVER,MADEP,MADEP_W0995_T1,6078699,1,0,
MULPUS BROOK,MADEP,MADEP_W0998_T1,6075687,1,0,
PETERS RIVER,MADEP,MADEP_W1022_T1,6116754,1,0,
CHICOPEE RIVER,MADEP,MADEP_W1031_T1,7692453,1,0,
MILL RIVER,MADEP,MADEP_W1061_T1,6780947,1,0,
WILLIAMS RIVER,MADEP,MADEP_W1098_T1,7710200,1,0,
HOUSATONIC RIVER,MADEP,MADEP_W1100_T1,7710210,1,0,
HUBBARD BROOK,MADEP,MADEP_W1113_T1,7710018,1,0,
KITCHEN BROOK,MADEP,MADEP_W1119_T1,22290257,1,0,
STOP RIVER,MADEP,MADEP_W1151_T1,5867555,1,0,
STONY BROOK,MADEP,MADEP_W1157_T1,5866457,1,0,
SQUANNACOOK RIVER,MADEP,MADEP_W1283_T1,6076029,1,0,
DRAGON BROOK,MADEP,MADEP_W1357_T1,10294946,1,0,
BEAR RIVER,MADEP,MADEP_W1358_T1,10295152,1,0,
HOWLETT BROOK,MADEP,MADEP_W1410_T1,5860647,1,0,Named Howlett Brook but on Pye Brook. Stcking with lat/lon determined catchment since point is on a flow line.
WESTFIELD RIVER,MADEP,MADEP_W1419_T1,6096241,1,0,
WEST RIVER,MADEP,MADEP_W1432_T1,6115898,1,0,
LITTLE RIVER,MADEP,MADEP_W1450_T1,6097591,1,0,
WESTFIELD RIVER,MADEP,MADEP_W1464_T1,6097447,1,0,
MILLER BROOK,MADEP,MADEP_W1548_T1,22290243,1,1,
HOOSIC RIVER,MADEP,MADEP_W1549_T1,22290255,1,0,
BROAD BROOK,MADEP,MADEP_W1552_T1,22290363,1,0,
EAST BRANCH GREEN RIVER,MADEP,MADEP_W1554_T1,22290245,1,0,
BASSETT BROOK,MADEP,MADEP_W1558_T1,22290389,1,1,
WILLIAMS RIVER,MADEP,MADEP_W1560_T1,7709856,1,0,
SACKETT BROOK,MADEP,MADEP_W1563_T1,7709686,1,0,
HUBBARD BROOK,MADEP,MADEP_W1571_T1,7709986,1,0,
SOUTHWEST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1573_T1,7709670,1,0,
EAST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1574_T1,7709646,1,0,
WEST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1575_T1,7709668,1,0,
MINE BROOK,MADEP,MADEP_W1588_T1,5867637,1,0,
SEAVERNS BROOK,MADEP,MADEP_W1590_T1,5867405,1,0,
CHARLES RIVER,MADEP,MADEP_W1718_T1,5868233,1,0,Coastal
CHARLES RIVER,MADEP,MADEP_W1719_T1,5868233,1,0,"Coastal. Located off of a flowline, but comparison to a map suggests it is on the river"
CHARLES RIVER,MADEP,MADEP_W1720_T1,5867717,1,0,
CHARLES RIVER,MADEP,MADEP_W1721_T1,5867599,1,0,
CHARLES RIVER,MADEP,MADEP_W1722_T1,5867599,1,0,Located off of a flowline
EAST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1724_T1,7709630,1,0,
EAST BRANCH HOUSATONIC RIVER,MADEP,MADEP_W1725_T1,7709630,1,0,
EAST BRANCH GREEN RIVER,MADEP,MADEP_W1728_T1,22290245,1,0,
BROAD BROOK,MADEP,MADEP_W1735_T1,22290169,22290363,0,
BROAD BROOK,MADEP,MADEP_W1736_T1,22290169,22290363,0,
Unnamed Tributary,MADEP,MADEP_W1737_T1,22290363,1,1,Is actually an unnamed trib near base of large catchment. Covariate values will likely be off a bit.
POOR FARM BROOK,MADEP,MADEP_W1753_T1,6115640,1,0,
SEWALL BROOK,MADEP,MADEP_W1761_T1,6115608,1,0,
CRONIN BROOK,MADEP,MADEP_W1769_T1,6115848,1,0,
Unnamed Tributary,MADEP,MADEP_W1773_T1,6116730,1,0,
BACON BROOK,MADEP,MADEP_W1774_T1,6116316,1,0,
CENTERVILLE BROOK,MADEP,MADEP_W1775_T1,6116198,1,0,
DARK BROOK,MADEP,MADEP_W1776_T1,6115800,1,0,
ABBOTT RUN,MADEP,MADEP_W1777_T1,6118994,1,0,
FALL RIVER,MADEP,MADEP_W1782_T1,6778773,1,0,
CONNECTICUT RIVER,MADEP,MADEP_W1784_T1,6782057,1,0,
SCANTIC RIVER,MADEP,MADEP_W1789_T1,7698830,1,0,
CONNECTICUT RIVER,MADEP,MADEP_W1799_T1,6778923,1,0,
PHILLIPS BROOK,MADEP,MADEP_W1809_T1,6075585,1,0,
NISSITISSIT RIVER,MADEP,MADEP_W1815_T1,6075301,1,0,
GATES BROOK,MADEP,MADEP_W1817_T1,6078383,1,0,
MALDEN BROOK,MADEP,MADEP_W1818_T1,6078313,1,0,
STILLWATER RIVER,MADEP,MADEP_W1820_T1,6078267,1,0,
QUINAPOXET RIVER,MADEP,MADEP_W1822_T1,6078339,1,0,
MULPUS BROOK,MADEP,MADEP_W1823_T1,6076043,1,0,
MULPUS BROOK,MADEP,MADEP_W1824_T1,6076051,1,0,
FALL BROOK,MADEP,MADEP_W1827_T1,6076099,1,0,
CHICOPEE BROOK,MADEP,MADEP_W1853_T1,7690795,1,0,
CHICOPEE BROOK,MADEP,MADEP_W1854_T1,7691755,1,0,
BOTTLE BROOK,MADEP,MADEP_W1855_T1,7691747,1,0,
PENNY BROOK,MADEP,MADEP_W1863_T1,7691743,1,0,
KINGS BROOK,MADEP,MADEP_W1864_T1,7690671,1,0,
WARE RIVER,MADEP,MADEP_W1877_T1,7692371,1,0,
Lake Quinsigamond,MADEP,MADEP_W1897_T1,166196339,1,0,"This is a lake, we might want to pull this site."
COONAMESSETT RIVER,MADEP,MADEP_W1905_T1,5878727,1,0,
QUASHNET RIVER,MADEP,MADEP_W1909_T1,5878731,1,0,
MASHPEE RIVER,MADEP,MADEP_W1911_T1,5878721,1,0,
SANTUIT RIVER,MADEP,MADEP_W1912_T1,5878909,1,0,
NEPONSET RIVER,MADEP,MADEP_W1933_T1,5867537,1,0,
NEPONSET RIVER,MADEP,MADEP_W1935_T1,5867771,1,0,
TUBWRECK BROOK,MADEP,MADEP_W1937_T1,5866697,1,0,
MILL BROOK,MADEP,MADEP_W1938_T1,5866697,1,0,
MILL BROOK,MADEP,MADEP_W1941_T1,5866703,1,0,
NEPONSET RIVER,MADEP,MADEP_W1943_T1,5866867,1,0,
PURGATORY BROOK,MADEP,MADEP_W1953_T1,5867469,1,0,
EAST BRANCH (PALMER RIVER),MADEP,MADEP_W1958_T1,6128555,1,0,
BAD LUCK BROOK,MADEP,MADEP_W1959_T1,6128647,1,0,
ABERJONA RIVER,MADEP,MADEP_W1965_T1,5867393,1,0,
MALDEN RIVER,MADEP,MADEP_W1967_T1,5867675,1,0,
Unnamed Tributary,MADEP,MADEP_W1968_T1,5866401,1,1,
ALEWIFE BROOK,MADEP,MADEP_W1969_T1,5866419,1,0,
MYSTIC RIVER,MADEP,MADEP_W1973_T1,5867675,1,0,
MYSTIC RIVER,MADEP,MADEP_W1975_T1,5867675,1,0,
ABERJONA RIVER,MADEP,MADEP_W1979_T1,5866313,1,0,
CHICOPEE BROOK,MADEP,MADEP_W2002_T1,7690773,1,0,
CHICOPEE BROOK,MADEP,MADEP_W2003_T1,7690757,1,0,
CHICOPEE BROOK,MADEP,MADEP_W2004_T1,7690757,1,0,
Unnamed Tributary,MADEP,MADEP_W2006_T1,7690743,1,0,
Unnamed Tributary,MADEP,MADEP_W2007_T1,7690743,1,0,
Unnamed Tributary,MADEP,MADEP_W2008_T1,7690743,1,0,
WEIR RIVER,MADEP,MADEP_W2033_T1,5863429,1,0,
WEIR RIVER,MADEP,MADEP_W2034_T1,5863429,1,0,
Unnamed Tributary,MADEP,MADEP_W2038_T1,5863771,1,0,
 - There,MADEP,MADEP_W2039_T1,5863763,1,0,
EEL RIVER,MADEP,MADEP_W2040_T1,5863767,1,0,
OLD SWAMP RIVER,MADEP,MADEP_W2043_T1,5863799,1,0,
OLD SWAMP RIVER,MADEP,MADEP_W2045_T1,5863515,1,0,
MARY LEE BROOK,MADEP,MADEP_W2050_T1,5867579,1,0,
FARM RIVER,MADEP,MADEP_W2053_T1,5867647,1,0,
MILL RIVER,MADEP,MADEP_W2057_T1,6780747,1,0,
TEMPLE BROOK,MADEP,MADEP_W2058_T1,7698122,1,0,
SCANTIC RIVER,MADEP,MADEP_W2059_T1,7698122,7698140,0,
BUTTERY BROOK,MADEP,MADEP_W2060_T1,6781237,1,0,
BUTTERY BROOK,MADEP,MADEP_W2061_T1,6781237,1,0,
CHILDS RIVER,MADEP,MADEP_W2071_T1,5878733,1,0,Coastal
Unnamed Tributary,MADEP,MADEP_W2072_T1,5879485,1,0,Coastal
Unnamed Tributary,MADEP,MADEP_W2073_T1,5879531,1,0,Coastal
MARSTONS MILLS RIVER,MADEP,MADEP_W2074_T1,5878689,1,0,Coastal
RED BROOK,MADEP,MADEP_W2075_T1,5879739,1,0,Coastal
FRESH BROOK,MADEP,MADEP_W2076_T1,5876949,1,0,Coastal
QUAKER RUN,MADEP,MADEP_W2077_T1,5879557,1,0,Coastal
HERRING BROOK,MADEP,MADEP_W2078_T1,5879565,1,0,Coastal
Unnamed Tributary,MADEP,MADEP_W2079_T1,5879819,1,0,Coastal
HERRING RIVER,MADEP,MADEP_W2080_T1,5878893,1,0,
SPRINGHILL CREEK,MADEP,MADEP_W2082_T1,5879309,1,0,Coastal
BUMPS RIVER,MADEP,MADEP_W2084_T1,5879503,1,0,Coastal
Unnamed Tributary,MADEP,MADEP_W2085_T1,5878885,1,0,Coastal
Unnamed Tributary,MADEP,MADEP_W2086_T1,5879309,1,0,Coastal
Unnamed Tributary,MADEP,MADEP_W2087_T1,5878885,1,0,Coastal
TEMPLE BROOK,MADEP,MADEP_W2121_T1,7698122,1,0,
Unnamed Tributary,MADEP,MADEP_W2128_T1,6771309,1,0,
COLD HARBOR BROOK,MADEP,MADEP_W2129_T1,6772943,1,0,
BEAVER BROOK,MADEP,MADEP_W2130_T1,6771085,1,0,
NORTH BROOK,MADEP,MADEP_W2131_T1,6772275,6773117,0,In a large catchment and very close to the upstream catchment so it gets reassigned to upstream one.
Unnamed Tributary,MADEP,MADEP_W2132_T1,6772171,1,0,
NASHOBA BROOK,MADEP,MADEP_W2133_T1,6771169,1,0,
ELIZABETH BROOK,MADEP,MADEP_W2134_T1,6772213,1,0,
Unnamed Tributary,MADEP,MADEP_W2135_T1,6772475,1,0,
HOP BROOK,MADEP,MADEP_W2136_T1,6772363,6772315,0,"Site is above confluence, intial catchment is below"
Unnamed Tributary,MADEP,MADEP_W2137_T1,6772153,1,0,
ELIZABETH BROOK,MADEP,MADEP_W2138_T1,6772219,1,0,
STONY BROOK,MADEP,MADEP_W2140_T1,6772507,1,0,
PENN BROOK,MADEP,MADEP_W2141_T1,5860625,1,0,
Unnamed Tributary,MADEP,MADEP_W2142_T1,5860465,1,0,
Unnamed Tributary,MADEP,MADEP_W2143_T1,6745094,1,0,
SHAWSHEEN RIVER,MADEP,MADEP_W2144_T1,6745168,1,0,
WEBB BROOK,MADEP,MADEP_W2145_T1,6745572,1,0,
SHAWSHEEN RIVER,MADEP,MADEP_W2146_T1,6744958,1,0,
SHAWSHEEN RIVER,MADEP,MADEP_W2147_T1,6745564,1,0,
SHAWSHEEN RIVER,MADEP,MADEP_W2148_T1,6745542,1,0,
SHAWSHEEN RIVER,MADEP,MADEP_W2149_T1,6745582,1,0,
SAUGUS RIVER,MADEP,MADEP_W2150_T1,5862417,1,0,
PROCTOR BROOK,MADEP,MADEP_W2151_T1,5860515,1,0,
CHICKEN BROOK,MADEP,MADEP_W2152_T1,5866827,1,0,
BOGASTOW BROOK,MADEP,MADEP_W2153_T1,5867515,1,0,
SEWALL BROOK,MADEP,MADEP_W2154_T1,5866655,1,0,
Unnamed Tributary,MADEP,MADEP_W2155_T1,5866593,1,0,
CHARLES RIVER,MADEP,MADEP_W2156_T1,5867405,1,0,
CHARLES RIVER,MADEP,MADEP_W2157_T1,5866977,1,0,
SOUTH BRANCH SOUHEGAN RIVER,MADEP,MADEP_W2158_T1,6744836,1,0,
DEEP BROOK,MADEP,MADEP_W2159_T1,6745022,1,0,
COBBLER BROOK,MADEP,MADEP_W2160_T1,6744436,1,0,
JOHNSON CREEK,MADEP,MADEP_W2161_T1,6745494,1,0,
LITTLE RIVER,MADEP,MADEP_W2162_T1,6744662,1,0,
STONY BROOK,MADEP,MADEP_W2167_T1,6745088,1,0,
MEADOW BROOK,MADEP,MADEP_W1466_M1,6096009,1,0,
HOOSIC RIVER,MADEP,MADEP_W1549_M1,22290255,1,0,
BROAD BROOK,MADEP,MADEP_W1552_M1,22290363,1,0,
HOOSIC RIVER,MADEP,MADEP_W1593_M1,22290169,1,0,
WHITES BROOK,MADEP,MADEP_W1924_M1,5878887,1,1,Coastal. Headwater
HOWLETT BROOK,MADEP,MADEP_W2168_M1,5860715,1,0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
