streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,notes
,MAFW,MAFW_MAWeke55,6078117,1,0,
,MAFW,MAFW_MASWac55,6078235,1,0,
,MAFW,MAFW_MACobb55,6078243,1,0,
,MAFW,MAFW_MAKear55,6096039,1,0,
,MAFW,MAFW_MABron55,6096055,1,1,
,MAFW,MAFW_MAFull55,6096081,1,0,
,MAFW,MAFW_MARoar55,6096311,1,0,
,MAFW,MAFW_MAGibb55,6096347,1,0,
,MAFW,MAFW_MAStag55,6096377,1,0,
,MAFW,MAFW_MATiff55,6096379,1,0,
,MAFW,MAFW_MATowe55,6097191,1,0,
,MAFW,MAFW_MARoar60,6097265,1,0,
,MAFW,MAFW_MAShak55,6098705,1,0,
,MAFW,MAFW_Cent70,6115858,1,0,
,MAFW,MAFW_MAWarr55,6115866,1,0,
,MAFW,MAFW_Cent65,6115946,1,0,
,MAFW,MAFW_Mudd55,6116104,1,0,
,MAFW,MAFW_Mudd60,6116104,1,0,
,MAFW,MAFW_Mudd65,6116108,1,0,
,MAFW,MAFW_Sprg60,6116116,1,0,
,MAFW,MAFW_Sprg55,6116116,1,0,
,MAFW,MAFW_MACold55,6116222,1,0,
,MAFW,MAFW_Emer60,6116264,1,0,
,MAFW,MAFW_Scad60,6116266,1,0,
,MAFW,MAFW_Scad65,6116266,1,0,
,MAFW,MAFW_Emer75,6116268,6116272,0,
,MAFW,MAFW_Emer70,6116272,1,0,
,MAFW,MAFW_Emer55,6116272,1,0,
,MAFW,MAFW_Emer65,6116272,1,0,
,MAFW,MAFW_Laur65,6116282,1,0,
,MAFW,MAFW_Laur55,6116302,1,0,
,MAFW,MAFW_Laur60,6116302,1,0,
,MAFW,MAFW_UCen55,6116700,1,1,
,MAFW,MAFW_Cent55,6116700,1,0,
,MAFW,MAFW_Cent60,6116700,1,0,
,MAFW,MAFW_MAPark55,7690145,1,0,"Name differs from where NHD says Parkers Brook is located, but position is directly on a high res flowline so keeping it as is."
,MAFW,MAFW_MAMayn55,7690249,1,0,
,MAFW,MAFW_MAPleas55,7691383,1,0,
,MAFW,MAFW_MAKeyu55,9343457,1,0,
,MAFW,MAFW_MAGulf55,9343483,1,1,
,MAFW,MAFW_MAUntM55,9343565,1,1,
,MAFW,MAFW_MAWhet55,9343601,1,0,
,MAFW,MAFW_MAColl55,9343741,1,0,
,MAFW,MAFW_MALyon55,9343809,1,0,
,MAFW,MAFW_MADunb55,10294564,1,0,
,MAFW,MAFW_MAFife55,10294664,1,0,
,MAFW,MAFW_MAStee55,10294750,10294722,0,
,MAFW,MAFW_MAMaxw55,10294774,1,0,
,MAFW,MAFW_MAMann55,10294806,1,1,
,MAFW,MAFW_MAWilB55,10294816,1,0,
,MAFW,MAFW_MAAver55,10294858,1,0,
,MAFW,MAFW_MAAlbe55,10294886,1,0,
,MAFW,MAFW_MAClak55,10294894,1,0,
,MAFW,MAFW_MAHawk55,10294902,1,0,
,MAFW,MAFW_MAHogH55,10294922,1,0,
,MAFW,MAFW_MAFirs55,10295126,1,1,
,MAFW,MAFW_MAWhit55,10295354,1,1,
