streamName,agency,site,correctFeatureID,notes
Narraguagus River,MEDMR,MEDMR_3MAINST1.84,1,
Narraguagus River,MEDMR,MEDMR_3MAINST1.85,1,
Narraguagus River,MEDMR,MEDMR_3MAINST11.08,1,
Narraguagus River,MEDMR,MEDMR_3MAINST11.16,1,
Narraguagus River,MEDMR,MEDMR_3MAINST22.43,1,
Narraguagus River,MEDMR,MEDMR_3MAINST30.86,1,
Narraguagus River,MEDMR,MEDMR_3MAINST33.26,1,
Narraguagus River,MEDMR,MEDMR_3MAINST38.22,1,
Narraguagus River,MEDMR,MEDMR_3MAINST41.81,1,
Narraguagus River,MEDMR,MEDMR_3MAINST46.29,1,
Narraguagus River,MEDMR,MEDMR_3MAINST47.19,1,
Narraguagus River,MEDMR,MEDMR_3MAINST47.62,1,
Narraguagus River,MEDMR,MEDMR_3MAINST47.69,1,
Narraguagus River,MEDMR,MEDMR_3MAINST49.69,1,
Narraguagus River,MEDMR,MEDMR_3MAINST51.94,2679432,
Narraguagus River,MEDMR,MEDMR_3MAINST55.55,1,
Narraguagus River,MEDMR,MEDMR_3MAINST62.50,1,
Narraguagus River,MEDMR,MEDMR_3MAINST7.65,1,
West Branch Narraguagus River,MEDMR,MEDMR_3WESTBR7.70,1,
Beaver Meadow Brook,MEDMR,MEDMR_4BEAVER1.46,1,
Bog Stream,MEDMR,MEDMR_4BOGSTR2.40,1,
Colonel Brook,MEDMR,MEDMR_4COLONE0.90,2677658,
Colonel Brook,MEDMR,MEDMR_4COLONE1.22,1,
Eastern Little River,MEDMR,MEDMR_4EASTER3.35,1,
Eastern Little River,MEDMR,MEDMR_4EASTER3.97,1,
Eastern Little River,MEDMR,MEDMR_4EASTER4.00,1,
Pleasant River,MEDMR,MEDMR_4MAINST0.07,1,
Pleasant River,MEDMR,MEDMR_4MAINST0.84,1,
Pleasant River,MEDMR,MEDMR_4MAINST0.85,1,
Pleasant River,MEDMR,MEDMR_4MAINST11.00,1,
Pleasant River,MEDMR,MEDMR_4MAINST11.04,1,
Pleasant River,MEDMR,MEDMR_4MAINST37.60,1,
Pleasant River,MEDMR,MEDMR_4MAINST37.62,1,
Pleasant River,MEDMR,MEDMR_4MAINST39.86,1,Good example of why we might want to delineate sites (Look @ med res vs high res)
Pleasant River,MEDMR,MEDMR_4MAINST42.45,1,
Pleasant River,MEDMR,MEDMR_4MAINST42.47,1,
Pleasant River,MEDMR,MEDMR_4MAINST44.81,1,
Pleasant River,MEDMR,MEDMR_4MAINST45.18,1,
Pleasant River,MEDMR,MEDMR_4MAINST47.40,1,
Pleasant River,MEDMR,MEDMR_4MAINST47.45,1,
Pleasant River,MEDMR,MEDMR_4MAINST55.43,2678118,"Technically not in this catchment, but on the upstream edge of the large downstream catchment."
Pleasant River,MEDMR,MEDMR_4MAINST7.06,1,
North East Tributary,MEDMR,MEDMR_4NETRIB0.18,1,
Western Little River,MEDMR,MEDMR_4WESTER0.54,1,
Chain Lake Stream,MEDMR,MEDMR_5CHAINL0.98,1,
Crooked River,MEDMR,MEDMR_5CROOKE1.75,1,
Crooked River,MEDMR,MEDMR_5CROOKE10.69,1,
Crooked River,MEDMR,MEDMR_5CROOKE14.38,1,
Crooked River,MEDMR,MEDMR_5CROOKE17.10,1,
Crooked River,MEDMR,MEDMR_5CROOKE20.31,1,
Crooked River,MEDMR,MEDMR_5CROOKE3.90,1,
Maine Estuarine and Marine,MEDMR,MEDMR_5ESTUAR0.72,1,
Fletcher Brook,MEDMR,MEDMR_5FLETCHR7.35,0,"Site reads Fletcher Brook, but matches up with Hadley Brook on map. Don't have a good way to change this yet."
Honeymoon Brook,MEDMR,MEDMR_5HONEYM1.21,1,
Honeymoon Brook,MEDMR,MEDMR_5HONEYM4.35,1,
Lake Brook,MEDMR,MEDMR_5LAKEBR1.30,1,
Lake Brook,MEDMR,MEDMR_5LAKEBR1.34,1,
Lake Brook,MEDMR,MEDMR_5LAKEBR1.35,1,
Lake Brook,MEDMR,MEDMR_5LAKEBR1.47,1,
Lanpher Brook,MEDMR,MEDMR_5LANPHE2.96,1,
Lanpher Brook,MEDMR,MEDMR_5LANPHE3.01,1,"Located off of the flowline a bit, but headwater, so there's not much we can do"
Lanpher Brook,MEDMR,MEDMR_5LANPHE3.08,1,
Machias River,MEDMR,MEDMR_5MAINST43.44,1,
Machias River,MEDMR,MEDMR_5MAINST59.69,1,
Machias River,MEDMR,MEDMR_5MAINST63.73,1,
Machias River,MEDMR,MEDMR_5MAINST64.25,1,
Machias River,MEDMR,MEDMR_5MAINST7.53,1,
Machias River,MEDMR,MEDMR_5MAINST7.86,1,
Machias River,MEDMR,MEDMR_5MAINST77.67,1,
Machias River,MEDMR,MEDMR_5MAINST77.77,1,
Mopang Stream,MEDMR,MEDMR_5MOPANG1.78,1,
Mopang Stream,MEDMR,MEDMR_5MOPANG11.12,1,
Mopang Stream,MEDMR,MEDMR_5MOPANG30.27,1,
Mopang Stream,MEDMR,MEDMR_5MOPANG34.81,1,
