streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,notes
Upper Ammonoosac River,NHDES,NHDES_NHUpAm55,4593095,1,0,
Israel River,NHDES,NHDES_NHIsr02,4593901,1,0,
Otter Brook,NHDES,NHDES_NHOttr55,4593911,1,0,
Israel River,NHDES,NHDES_NHIsr08,4593953,1,0,
Stalbird Brook,NHDES,NHDES_NHSBrd55,4593971,1,0,
Alder Brook,NHDES,NHDES_NHAldr55,4594027,1,0,NHD Plus attributes name the stream as Priscilla Brook
Israel River,NHDES,NHDES_NHIsr16,4594031,1,0,
Stag Hollow Brook,NHDES,NHDES_NHStgH03,4594049,1,0,
Stag Hollow Brook,NHDES,NHDES_NHStgH02,4594049,1,0,
Stag Hollow Brook,NHDES,NHDES_NHStgH06,4594049,1,0,
Israel River,NHDES,NHDES_NHIsr17,4594053,1,0,
Israel River,NHDES,NHDES_NHIsr19,4594079,1,0,
Cherry Mill Brook,NHDES,NHDES_NHChyM55,4594097,1,1,Assuming Cherry Mill Brook is the small trib to Mill Brook that the site is located on
Israel River,NHDES,NHDES_NHIsr20,4594099,1,0,
Wild Ammonoosuc River,NHDES,NHDES_NHWAm55,4594437,1,0,
Israel River,NHDES,NHDES_NHIsr14,4594533,1,0,
Israel River,NHDES,NHDES_NHIsrl01,4594533,1,0,
Churchill Brook,NHDES,NHDES_NHChur55,5843456,1,0,NHD Plus attributes name the stream as Hanson Brook. Churchill Brook is adjacent and downstream. Site is a lake so it can be removed.
Oyster River,NHDES,NHDES_NHOyst55,5845058,1,0,
Isinglass River,NHDES,NHDES_NHIsgl55,5847696,1,0,
Johnson Brook,NHDES,NHDES_NHJohn55,6729607,1,0,
South Branch Baker River,NHDES,NHDES_NHBakr55,6730207,1,0,
Salmon Brook,NHDES,NHDES_NHSalm55,6731049,1,0,
Punch Brook,NHDES,NHDES_NHPnch55,6739840,1,0,
Stirrup Iron Brook,NHDES,NHDES_NHStir55,6739940,1,0,
Hayward Brook,NHDES,NHDES_NHHayw55,6740226,1,0,
Sanborn Brook,NHDES,NHDES_NHSanb55,6740238,1,0,
Moose Meadow Brook,NHDES,NHDES_NHMosM55,6740908,1,0,
Collins Brook,NHDES,NHDES_NHColn55,6741088,1,0,
South Branch Piscataquog River,NHDES,NHDES_NHPisc55,6743708,1,0,
Rand Brook,NHDES,NHDES_NHRand55,6743756,1,0,
Lord's Brook,NHDES,NHDES_NHLord55,6743862,1,0,
Stony Brook,NHDES,NHDES_NHStny55,6745412,1,0,
West Branch Warner River,NHDES,NHDES_NHWwar55,6761130,1,0,
Shedd Brook,NHDES,NHDES_NHShed55,6761402,1,0,
Ashuelot River,NHDES,NHDES_NHAsht60,6776683,1,0,
Dart Brook,NHDES,NHDES_NHDart55,6776739,1,0,
Ashuelot River,NHDES,NHDES_NHAsht55,6776863,1,0,
Deer River,NHDES,NHDES_NHDeer55,9315671,1,0,
Bearcamp River,NHDES,NHDES_NHBear55,9315827,1,0,
Cold River,NHDES,NHDES_NHCold55,9315839,1,0,
Beech River,NHDES,NHDES_NHBech55,9316353,1,0,
Mink Brook,NHDES,NHDES_NHMink55,9327034,1,0,
Little Sugar River,NHDES,NHDES_NHLSgr55,9330004,1,0,
Cold River,NHDES,NHDES_NHCold60,9330556,1,0,
Bumpus Brook,NHDES,NHDES_NHBump55,19335073,1,0,
