streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,notes
,NHFG,NHFG_NHPikeBrk55,4592921,1,0,
,NHFG,NHFG_NHColumbia55,4592923,1,1,
,NHFG,NHFG_NHNshStrAbvBog55,4592923,1,0,
,NHFG,NHFG_NHEBrNash55,4592949,1,0,
,NHFG,NHFG_NHPondBrk55,4592967,1,0,
,NHFG,NHFG_NHLngMtnBrk55,4593003,1,1,
,NHFG,NHFG_NHSlid55,4593003,1,1,
,NHFG,NHFG_NHFarr55,4593003,1,1,
,NHFG,NHFG_NHSilverBrk55,4593229,1,0,
,NHFG,NHFG_NHJohnsonBrk60,4593231,1,0,
,NHFG,NHFG_NHJohnsonBrk55,4593231,1,0,
,NHFG,NHFG_NHLwrStgHlwBrk55,4594049,1,0,
,NHFG,NHFG_NHCrlStr55,4594117,1,0,
,NHFG,NHFG_NHBogBrk55,4594133,1,0,
,NHFG,NHFG_NHUprRixBrk55,4594655,1,1,
,NHFG,NHFG_NHCocheco55,5844882,1,0,
,NHFG,NHFG_NHCocheco60,5844882,1,0,
,NHFG,NHFG_NHChesley55,5845084,1,0,
,NHFG,NHFG_NHBlakeBrk55,6731195,1,0,
,NHFG,NHFG_NHNdlShpBrk55,6731703,1,0,
,NHFG,NHFG_NHUprSalmonBrk55,6732797,1,0,
,NHFG,NHFG_NHWeeksBrk55,6732975,1,0,
,NHFG,NHFG_NHNBrOfNBrch55,6740728,1,0,
,NHFG,NHFG_NHMPis55,6741156,1,0,
,NHFG,NHFG_NHNBrch55,6741516,1,0,
,NHFG,NHFG_NHNBrchUnknTribA55,6741520,1,0,
,NHFG,NHFG_NHNBrn11,6742060,1,0,
,NHFG,NHFG_NHScat55,6743934,1,0,no name confirmed with NHD plus
,NHFG,NHFG_NHAndvMtnBrk55,6760814,1,0,
,NHFG,NHFG_NHFrzrBrk55,6761682,6761678,0,
,NHFG,NHFG_NHMill60,6761726,1,0,
,NHFG,NHFG_NHUprWnlnctRiv55,9315535,1,0,
,NHFG,NHFG_NHLweWhtfcRiv55,9315709,1,0,
,NHFG,NHFG_NHUprMillBrk55,9315717,1,0,
,NHFG,NHFG_NHUprSwftRiv55,9315719,1,0,
,NHFG,NHFG_NHSwftRiv55,9315719,1,0,
,NHFG,NHFG_NHUprGunnison55,9329906,1,0,
,NHFG,NHFG_NHDodgeBrk55,9330470,1,0,
,NHFG,NHFG_NHDodgeBrk60,9330470,1,0,
,NHFG,NHFG_NHMillikenBrk55,9330568,1,0,
,NHFG,NHFG_NHThay55,9330604,1,0,
,NHFG,NHFG_NHGreatBrkLngdon55,9330678,1,0,
,NHFG,NHFG_NHWarrenBrk55,9330686,1,0,
,NHFG,NHFG_NHWarrenBrk60,9330706,9330708,0,
,NHFG,NHFG_NHWlplMtnBrk55,9330716,1,0,
,NHFG,NHFG_NHHoneyBrk55,9331062,1,0,
,NHFG,NHFG_NHWarrenBrk65,9331076,1,0,
,NHFG,NHFG_NHUprLtlDeadDiam55,19334229,1,0,
,NHFG,NHFG_NHSBrLtlDeadDiamRvr55,19334233,1,0,
,NHFG,NHFG_NHWshbrnBrk55,19334241,1,1,
,NHFG,NHFG_NHDDiamHlgt55,19334241,1,0,
,NHFG,NHFG_NHUprFourMile55,19334257,1,0,
,NHFG,NHFG_NHLwrFourMile55,19334267,1,0,
,NHFG,NHFG_NHLarry55,19334277,1,0,
,NHFG,NHFG_NHDyerBrk55,166174248,1,0,
,NHFG,NHFG_NHPrsctBrk55,166174250,1,0,
,NHFG,NHFG_NHMill55,166174468,1,0,
,NHFG,NHFG_NHBlck60,166174475,1,0,
