streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,notes
Taylor Brook,USFS,USFS_2439254,6093493,1,0,Metadata says Taylor brook but lat/lon puts it in East Brook (can't find Taylor). Keeping as is.
Meadow Brook,USFS,USFS_2439153,6093501,1,0,
Center Brook,USFS,USFS_2439151,6094075,1,0,
Center Brook,USFS,USFS_2439173,6094075,1,0,
Taylor Brook,USFS,USFS_2439145,6095975,1,0,
Meadow Brook,USFS,USFS_2439253,6096009,1,0,
Powell,USFS,USFS_2439162,6096039,1,0,
Powell,USFS,USFS_2439149,6096039,1,0,
Tuttle Brook,USFS,USFS_2439182,6096101,1,0,
Watts,USFS,USFS_2439167,6096127,1,0,
Kinne Brook,USFS,USFS_2439164,6096145,1,0,"These are the same site, over the same time period, but the records are different."
Kinne Brook,USFS,USFS_2439147,6096145,1,0,"These are the same site, over the same time period, but the records are different."
Chauncey,USFS,USFS_2439171,6096149,1,0,
Chauncey,USFS,USFS_2439180,6096149,1,0,
Glendale,USFS,USFS_2439190,6096165,6096159,0,
Kinne Brook,USFS,USFS_2439155,6096179,1,0,
Abbott,USFS,USFS_2439146,6096263,1,0,
Abbott,USFS,USFS_2439083,6096263,1,0,
Gibbs,USFS,USFS_2439076,6096347,1,0,
Bedlam brook,USFS,USFS_2439067,6096383,1,0,
Tuttle Brook,USFS,USFS_2439181,6098683,1,0,Metadata says Tuttle brook but lat/lon puts it in Cone Brook (the adjacent stream). Keeping as is.
Glendale,USFS,USFS_2439196,6098691,1,0,
Jenny Coolidge,USFS,USFS_2432704,10102052,1,0,
Farnum,USFS,USFS_2439249,10102258,1,0,
Winhall,USFS,USFS_2432683,10102560,1,0,
Wardsboro/Smith,USFS,USFS_2439152,10102716,1,0,
Mount Tabor Brook,USFS,USFS_2389763,10102764,1,0,
Mill Brook,USFS,USFS_2439160,10102836,1,0,
Fair Brook,USFS,USFS_2439157,10102898,1,0,
Mill Brook - Townshend,USFS,USFS_2432688,10102900,1,0,
Waite,USFS,USFS_2439192,10103654,1,0,
Grassy Brook,USFS,USFS_2432679,10103666,1,0,
Bemis,USFS,USFS_2439255,10103712,1,0,
Stickney Brook,USFS,USFS_2432678,10103780,1,0,
Stickney Brook,USFS,USFS_2432657,10103788,1,0,
