streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,duplicatePairing,notes
Lamoille River,VTFWS,VTFWS_Lamoille_BHLXXX,4586550,1,0,ONE,
Moose River,VTFWS,VTFWS_MooseRiver_XXX06,4571729,1,0,ONE,
Passumpsic River,VTFWS,VTFWS_Passumpsic_XXX06,4572409,1,0,ONE,
Sleepers River,VTFWS,VTFWS_Sleepers_XXX06,4572307,1,0,ONE,
,VTFWS,VTFWS_LoggerBranch_1,4593189,1,0,VTFWS_LoggerBranch_1,
,VTFWS,VTFWS_nulb396,4593189,1,0,VTFWS_LoggerBranch_1,
,VTFWS,VTFWS_TimCarroll,4592847,1,0,VTFWS_TimCarroll,
,VTFWS,VTFWS_timc546,4592847,1,0,VTFWS_TimCarroll,
Moose River,VTFWS,VTFWS_Moose_WestBranch_Mouth,4570537,4570527,0,ONE,
Moose River,VTFWS,VTFWS_Moose_EastBranch_Mouth,4570537,4570525,0,ONE,
Moose East Branch,VTFWS,VTFWS_moeb543,4570537,4570525,0,VTFWS_EBMoose,
Moose West Branch,VTFWS,VTFWS_WBMoose,4570537,4570527,0,VTFWS_WBMoose,
Moose West Branch,VTFWS,VTFWS_mowb542,4570537,4570527,0,VTFWS_WBMoose,
Moose East Branch,VTFWS,VTFWS_EBMoose,4570537,4570525,0,VTFWS_EBMoose,
Moose River,VTFWS,VTFWS_Moose_Moccassin,4570557,1,0,ONE,
Moose River,VTFWS,VTFWS_Moose_VictoryBog,4570573,1,0,ONE,
Grandby Brook,VTFWS,VTFWS_GrandbyBrook_Mouth,4570667,4570581,0,ONE,"This one says Grandby Brook, but lat/lon puts it below convergence of Rogers Br and Moose River. Grandby is upstream. Going to assume that the field tech thought Rogers Mouth was Granby Mouth. "
Moose River,VTFWS,VTFWS_Moose_MidVictoryBog,4570667,1,0,ONE,
Bog Brook,VTFWS,VTFWS_BogBrook_Mouth,4570663,1,0,ONE,
Moose River,VTFWS,VTFWS_Moose_BelowVictoryBog,4571719,1,0,ONE,
Kirby Brook,VTFWS,VTFWS_KirbyBrook,4571725,4571801,0,ONE,
Moose River,VTFWS,VTFWS_Moose_BelowKirby,4571725,1,0,ONE,
Moose River,VTFWS,VTFWS_Moose_AboveStiles,4571723,1,0,ONE,
Stiles Brook,VTFWS,VTFWS_StilesBrook_Mouth,4571727,1,0,ONE,
Stony Brook/Alder Brook,VTFWS,VTFWS_StonyBrook,4593259,1,0,VTFWS_StonyBrook,
Stony Brook/Alder Brook,VTFWS,VTFWS_ston457,4593259,1,0,VTFWS_StonyBrook,
"Nulhegan, Black Branch - bog",VTFWS,VTFWS_nubb378,4593191,1,0,ONE,
Black Branch Nulhegan,VTFWS,VTFWS_nubb538,4593191,1,0,VTFWS_BlackBranch_NulheganUpper,
Black Branch Nulhegan,VTFWS,VTFWS_BlackBranch_NulheganUpper,4593191,1,0,VTFWS_BlackBranch_NulheganUpper,
Brouillard Brook,VTFWS,VTFWS_BrouillardBrook,4592841,1,1,VTFWS_BrouillardBrook,
Nulhegan EB upper,VTFWS,VTFWS_EBNulhegan_Upper,4592841,1,0,VTFWS_EBNulhegan_Upper,
Nulhegan EB upper,VTFWS,VTFWS_nueb425,4592841,1,0,VTFWS_EBNulhegan_Upper,
Brouillard Brook,VTFWS,VTFWS_brou430,4592841,1,1,VTFWS_BrouillardBrook,
Clay Hill Brook,VTFWS,VTFWS_ClayHill,4592871,1,0,VTFWS_ClayHill,
Clay Hill Brook,VTFWS,VTFWS_clay413,4592871,1,0,VTFWS_ClayHill,
Coatticook Brook,VTFWS,VTFWS_Coaticook,4599339,4599335,0,VTFWS_Coaticook,
Coatticook Brook,VTFWS,VTFWS_coat413,4599339,4599335,0,VTFWS_Coaticook,
Mill Brook,VTFWS,VTFWS_mill332,4570513,4570519,0,VTFWS_MillBrook,
Passumpsic East Branch near LaPawac,VTFWS,VTFWS_EBPassumpsic_LaPawac,4570513,1,0,VTFWS_EBPassumpsic_LaPawac,
Passumpsic East Branch near LaPawac,VTFWS,VTFWS_paeb324,4570513,1,0,VTFWS_EBPassumpsic_LaPawac,
Mill Brook,VTFWS,VTFWS_MillBrook,4570513,4570519,0,VTFWS_MillBrook,
Nulhegan East Branch near Mink ,VTFWS,VTFWS_EBNulhegan_Mink,4592907,1,0,ONE,
Mink Brook,VTFWS,VTFWS_MinkBrook,4592907,1,1,VTFWS_MinkBrook,
Mink Brook,VTFWS,VTFWS_mink380,4592907,1,1,VTFWS_MinkBrook,
Fisher Brook,VTFWS,VTFWS_fish419,4592855,1,0,VTFWS_FisherBrook,
Fisher Brook,VTFWS,VTFWS_FisherBrook,4592855,1,0,VTFWS_FisherBrook,
Goupee Brook,VTFWS,VTFWS_GoupeeBrook,4593207,1,1,ONE,
Hurricane Brook,VTFWS,VTFWS_hurr417 ,4599337,1,0,VTFWS_HurricaneBrook,
Hurricane Brook,VTFWS,VTFWS_HurricaneBrook,4599337,1,0,VTFWS_HurricaneBrook,
Line Brook,VTFWS,VTFWS_line477,4570535,1,0,VTFWS_LineBrook,
Line Brook,VTFWS,VTFWS_LineBrook,4570535,1,0,VTFWS_LineBrook,
Madison Brook,VTFWS,VTFWS_MadisonBrook,4593249,1,0,VTFWS_MadisonBrook,
Madison Brook,VTFWS,VTFWS_madi459,4593249,1,0,VTFWS_MadisonBrook,
Murphy Brook,VTFWS,VTFWS_MurphyBrook,4593239,1,0,VTFWS_MurphyBrook,
Murphy Brook,VTFWS,VTFWS_murp403,4593239,1,0,VTFWS_MurphyBrook,
North Branch Nulhegan,VTFWS,VTFWS_NBNulhegan,4593209,1,0,VTFWS_NBNulhegan,
North Branch Nulhegan,VTFWS,VTFWS_nunb421,4593209,1,0,VTFWS_NBNulhegan,
Oswegatchie Brook,VTFWS,VTFWS_Oswegatchie,4599409,1,0,VTFWS_Oswegatchie,
Oswegatchie Brook,VTFWS,VTFWS_oswe353,4599409,1,0,VTFWS_Oswegatchie,
Paul John Brook,VTFWS,VTFWS_PaulJohn,4593219,1,0,VTFWS_PaulJohn,
Paul John Brook,VTFWS,VTFWS_paul408,4593219,1,0,VTFWS_PaulJohn,
Paul Stream above Bog,VTFWS,VTFWS_paul469,4593243,1,0,ONE,
Paul Stream above Bog,VTFWS,VTFWS_Paul_AboveBog,4593243,1,1,ONE,
Pherrins River,VTFWS,VTFWS_pher371,4599397,1,0,VTFWS_Pherrins,
Pherrins River,VTFWS,VTFWS_Pherrins,4599397,1,0,VTFWS_Pherrins,
Pine Brook,VTFWS,VTFWS_pine413,4599361,1,0,VTFWS_Pine,
Pine Brook,VTFWS,VTFWS_Pine,4599361,1,0,VTFWS_Pine,
Tolman Brook,VTFWS,VTFWS_tolm422,4593021,1,1,VTFWS_TolmanBrook,
Tolman Brook,VTFWS,VTFWS_TolmanBrook,4593021,1,1,VTFWS_TolmanBrook,
Tuffield-Willey Brook,VTFWS,VTFWS_TuffieldWilley,4592873,1,0,VTFWS_TuffieldWilley,
Tuffield-Willey Brook,VTFWS,VTFWS_tuff407,4592873,1,0,VTFWS_TuffieldWilley,
Weir Mill Brook,VTFWS,VTFWS_weir410,4570583,1,0,VTFWS_WeirMillBrook,
Weir Mill Brook,VTFWS,VTFWS_WeirMillBrook,4570583,1,0,VTFWS_WeirMillBrook,
Yellow Alder Brook,VTFWS,VTFWS_yell384,4593193,1,0,VTFWS_YellowAlder,
Yellow Alder Brook,VTFWS,VTFWS_YellowAlder,4593193,1,0,VTFWS_YellowAlder,
Yellow Branch Nulhegan,VTFWS,VTFWS_YellowBranch_Nulhegan,4593195,1,0,ONE,
"Nulhegan, Yellow Branch",VTFWS,VTFWS_nuyb384 ,4593195,1,0,ONE,
Umpire Brook,VTFWS,VTFWS_Umpire,4570575,1,0,VTFWS_Umpire,
Umpire Brook,VTFWS,VTFWS_umpi415,4570575,1,0,VTFWS_Umpire,
Black River,VTFWS,VTFWS_blac256,4599833,1,0,ONE,
Black River,VTFWS,VTFWS_blac300,4599943,1,0,ONE,
Kirby Brook,VTFWS,VTFWS_kirb301,4571801,1,0,ONE,
Outlet Brook,VTFWS,VTFWS_outl384,4599365,1,0,ONE,
Mad Brook,VTFWS,VTFWS_madb397,4599481,1,0,ONE,
Lightning Brook,VTFWS,VTFWS_ligh358,4599389,1,0,ONE,
Webster Brook,VTFWS,VTFWS_webs370,4599487,1,0,ONE,
Orcutt Brook,VTFWS,VTFWS_orcu310,4599757,1,0,ONE,
Valley Brook,VTFWS,VTFWS_vall396,4599349,1,0,ONE,
Cold Brook,VTFWS,VTFWS_cold358,4599489,1,0,ONE,
Clyde River,VTFWS,VTFWS_clyd349,4599479,1,0,ONE,
Clyde River,VTFWS,VTFWS_clyd287,4599741,1,0,ONE,
Clyde River,VTFWS,VTFWS_clyd354,4599491,1,0,ONE,
Clyde River,VTFWS,VTFWS_clyd216,4599753,1,0,ONE,
Clyde River,VTFWS,VTFWS_clyd299,4599775,1,0,ONE,
