site,year,agency,issue,Latitude,Longitude
3MAINST1.85,2011,MEDMR,Logger out of water,44.60835345,-67.93840542
3MAINST1.85,,MEDMR,Water warmer than air,44.60835345,-67.93840542
6NORTHE4.69,2009,MEDMR,Logger out of water,44.92815813,-67.49460989
6NORTHE4.69,,MEDMR,Water warmer than air,44.92815813,-67.49460989
5MAINST7.86,multiple,MEDMR,Possible impoundment release,44.72506094,-67.52364042
5MAINST7.86,,MEDMR,Water warmer than air,44.72506094,-67.52364042
5MAINST7.86,2011,MEDMR,Logger out of water,44.72506094,-67.52364042
5WESTBR0.18,2006,MEDMR,Logger out of water,44.95906293,-67.87262071
5WESTBR0.18,,MEDMR,Water warmer than air,44.95906293,-67.87262071
6MAINST47.78,2011,MEDMR,?,44.99930175,-67.61859733
6MAINST47.78,2009,MEDMR,Logger out of water,44.99930175,-67.61859733
6MAINST47.78,,MEDMR,Water warmer than air,44.99930175,-67.61859733
4MAINST0.85,2004,MEDMR,Logger out of water,44.65568927,-67.73439175
6NORTHE6.73,2006,MEDMR,?,44.94159874,-67.50906302
5CROOKE1.75,,MEDMR,?,44.92760479,-67.86937136
5OLDSTR30.34,2000,MEDMR,?,44.94712117,-67.7510106
3MAINST1.84,,MEDMR,Water warmer than air,44.60809149,-67.93830937
3MAINST33.26,,MEDMR,Water warmer than air,44.75027758,-68.00655589
3MAINST38.22,,MEDMR,Water warmer than air,44.78128701,-68.01865145
3MAINST41.81,,MEDMR,Water warmer than air,44.80568724,-68.03285566
3WESTBR7.70,,MEDMR,Water warmer than air,44.64537871,-67.99489287
4BOGSTR2.40,,MEDMR,Water warmer than air,44.73929644,-67.93290475
4MAINST0.84,,MEDMR,Water warmer than air,44.6554907,-67.73434562
4MAINST0.84,2008,MEDMR,Possible impoundment release,44.6554907,-67.73434562
4MAINST7.06,,MEDMR,Water warmer than air,44.68862934,-67.75984778
4MAINST11.00,,MEDMR,Water warmer than air,44.69731457,-67.78731627
4MAINST11.04,multiple,MEDMR,Possible impoundment release,44.69759037,-67.78700759
4MAINST11.04,,MEDMR,Water warmer than air,44.69759037,-67.78700759
4MAINST55.43,,MEDMR,Water warmer than air,44.83537303,-67.9627116
5CHAINL0.98,,MEDMR,Water warmer than air,44.93818025,-67.72235786
5MAINST7.53,,MEDMR,Water warmer than air,44.72287399,-67.52090546
5MAINST43.44,,MEDMR,Water warmer than air,44.8188665,-67.73856736
5MAINST59.69,,MEDMR,Water warmer than air,44.90348942,-67.83368096
5MAINST64.25,,MEDMR,Water warmer than air,44.93530908,-67.85477224
5MAINST77.67,,MEDMR,Water warmer than air,45.02521819,-67.86807329
5MAINST77.77,,MEDMR,Water warmer than air,45.02596286,-67.86873138
5MOPANG11.12,,MEDMR,Water warmer than air,44.79866094,-67.82943524
5MOPANG34.81,,MEDMR,Water warmer than air,44.90091616,-67.96157163
5NEWSTR5.20,,MEDMR,Water warmer than air,44.86420947,-67.63214884
