"FEATUREID","Latitude","Longitude"
4287293,47.324168,-68.351452
4287725,47.292527,-68.371622
4287325,47.280034,-68.345224
4287329,47.266382,-68.368215
4288033,47.28336,-68.396984
4287323,47.273431,-68.39999
4287333,47.259364,-68.431803
4287637,47.279703,-68.514999
4287327,47.270611,-68.554389
4287977,47.27825,-68.562751
4287647,47.21901,-68.652978
4287341,47.220558,-68.715402
4287767,47.227711,-68.732446
4287773,47.225898,-68.745006
4287347,47.213354,-68.731117
4287659,47.180326,-68.738304
4287429,47.170016,-68.791998
4287995,47.203859,-68.824591
4287349,47.20161,-68.823806
4287401,47.188814,-68.836177
4287367,47.187781,-68.817058
4287437,47.157864,-68.826084
4287883,47.165163,-68.806615
4287445,47.152503,-68.806253
4287415,47.172116,-68.827733
4287471,47.124942,-68.870537
4287465,47.132519,-68.853785
4287431,47.157443,-68.876827
4287469,47.125556,-68.915312
4287825,47.126257,-68.932222
4287839,47.116004,-68.94023
4287837,47.11609,-68.939135
4287489,47.10097,-68.911942
4287501,47.065208,-68.91258
4287893,47.059638,-68.915848
4287671,47.079762,-68.951017
4287889,47.080223,-68.929241
4287865,47.104682,-68.980819
4287493,47.087423,-68.975546
4287863,47.105553,-68.979712
4287495,47.080625,-68.988673
4288349,47.085948,-69.005716
4288585,47.091956,-69.008752
4288399,47.049982,-69.018335
4288407,47.04085,-69.015255
4288413,47.025763,-69.011605
4287519,47.036055,-69.000052
4287537,47.011073,-68.991442
4287549,47.000772,-68.955655
4288887,46.993652,-68.966588
4288885,46.991006,-68.943798
24892784,46.986434,-68.945472
4287531,47.013548,-68.953283
4287535,47.016261,-68.940435
4287539,47.00689,-68.925007
4287545,46.999042,-68.909812
4288879,46.998837,-68.902668
166157974,46.99695,-68.893709
4288891,46.988239,-68.892234
4288991,46.977913,-68.876677
4287675,47.015221,-68.900517
4287533,47.028648,-68.921232
4287521,47.037635,-68.91191
4287513,47.038929,-68.896534
4287505,47.058633,-68.870828
4287523,47.030822,-68.89922
4287899,47.027761,-68.881906
4287509,47.048742,-68.894237
4287895,47.055352,-68.895749
4287507,47.05,-68.869956
4287515,47.04443,-68.911972
4287897,47.050766,-68.911259
4287527,47.029665,-68.943161
4288385,47.054575,-68.998593
4287503,47.052121,-68.995427
4292659,47.050276,-68.998076
4287673,47.061797,-68.974037
4287511,47.049115,-68.951453
