Agency,Site,Year,Breakpoint
CTDEP,CTDEP_33,2001,summerBP
CTDEP,CTDEP_63,2002,summerBP
CTDEP,CTDEP_116,2007,summerBP
CTDEP,CTDEP_123,2007,summerBP
CTDEP,CTDEP_163,2005,summerBP
CTDEP,CTDEP_191,2001,summerBP
CTDEP,CTDEP_191,2002,summerBP
CTDEP,CTDEP_223,2004,summerBP
CTDEP,CTDEP_241,2002,summerBP
CTDEP,CTDEP_285,2011,summerBP
CTDEP,CTDEP_318,2011,summerBP
CTDEP,CTDEP_346,2002,summerBP
CTDEP,CTDEP_518,2001,summerBP
CTDEP,CTDEP_518,2002,summerBP
CTDEP,CTDEP_574,2004,summerBP
CTDEP,CTDEP_710,2004,summerBP
CTDEP,CTDEP_711,2001,summerBP
CTDEP,CTDEP_712,2001,summerBP
CTDEP,CTDEP_741,2011,summerBP
CTDEP,CTDEP_919,2004,summerBP
CTDEP,CTDEP_1083,2002,summerBP
CTDEP,CTDEP_1162,2002,summerBP
CTDEP,CTDEP_1162,2004,summerBP
CTDEP,CTDEP_1293,2011,summerBP
CTDEP,CTDEP_1294,2011,summerBP
CTDEP,CTDEP_1304,2008,summerBP
CTDEP,CTDEP_1304,2011,summerBP
CTDEP,CTDEP_1413,2003,summerBP
CTDEP,CTDEP_1452,2002,summerBP
CTDEP,CTDEP_1611,2002,summerBP
CTDEP,CTDEP_1777,2007,summerBP
CTDEP,CTDEP_1838,2002,summerBP
CTDEP,CTDEP_1838,2004,summerBP
CTDEP,CTDEP_2004,2004,summerBP
CTDEP,CTDEP_2005,2004,summerBP
CTDEP,CTDEP_2266,2004,summerBP
CTDEP,CTDEP_2275,2004,summerBP
CTDEP,CTDEP_2277,2004,summerBP
CTDEP,CTDEP_2295,2011,summerBP
CTDEP,CTDEP_2309,2011,summerBP
CTDEP,CTDEP_2306,2011,summerBP
CTDEP,CTDEP_2331,2011,summerBP
CTDEP,CTDEP_5317,2004,summerBP
CTDEP,CTDEP_5440,2002,summerBP
CTDEP,CTDEP_5514,2004,summerBP
CTDEP,CTDEP_5959,2004,summerBP
CTDEP,CTDEP_5985,2004,summerBP
CTDEP,CTDEP_5988,2004,summerBP
CTDEP,CTDEP_6004,2004,summerBP
CTDEP,CTDEP_6008,2004,summerBP
CTDEP,CTDEP_6020,2004,summerBP
CTDEP,CTDEP_6024,2000,summerBP
CTDEP,CTDEP_6024,2001,summerBP
CTDEP,CTDEP_6024,2002,summerBP
CTDEP,CTDEP_6024,2011,summerBP
CTDEP,CTDEP_6056,2004,summerBP
CTDEP,CTDEP_6227,2011,summerBP
CTDEP,CTDEP_6288,2011,summerBP
CTDEP,CTDEP_6292,2011,summerBP
CTDEP,CTDEP_6329,2011,summerBP
MAFW,MAFW_MACold55,2007,summerBP
MAUSGS,MAUSGS_SEC_6_DL,2007,summerBP
USFS,USFS_2439162,2012,summerBP
VTFWS,VTFWS_clyd299,2012,summerBP
VTFWS,VTFWS_clyd349,2012,summerBP
VTFWS,VTFWS_MooseRiver_XXX06,2012,summerBP
VTFWS,VTFWS_Passumpsic_XXX06,2004,summerBP
CTDEP,CTDEP_192,2006,fallBP
USFS,USFS_2432679,2011,springBP
