site,mean MaxTemp,max MaxTemp,mean Days18,years MaxTemp18,freq Max18,mean Resistance,mean RMSE,total Obs,flag
MADEP_W0013_T1,17.2,18.3,1.0,1,0.029,490.3,0.40,49,
MADEP_W0014_T1,17.2,18.4,1.0,3,0.088,454.0,0.60,49,
MADEP_W0096_T1,23.1,24.2,71.2,34,1.000,236.7,0.51,32,
MADEP_W0099_T1,23.0,24.4,69.3,34,1.000,269.7,0.45,32,
MADEP_W0124_T1,20.6,21.8,32.0,34,1.000,456.7,0.45,32,
MADEP_W0128_T1,22.8,23.9,71.4,34,1.000,286.1,0.64,32,
MADEP_W0221_T1,26.4,28.5,99.0,34,1.000,158.0,0.83,70,
MADEP_W0263_T1,24.3,26.1,77.3,34,1.000,146.3,0.82,70,
MADEP_W0271_T1,20.8,22.6,31.3,34,1.000,300.9,0.70,70,
MADEP_W0408_T1,23.6,24.9,81.1,34,1.000,227.0,0.98,115,
MADEP_W0423_T1,26.6,28.3,100.4,34,1.000,153.1,1.64,115,Flag
MADEP_W0448_T1,21.9,26.1,39.1,34,1.000,469.7,1.31,95,
MADEP_W0454_T1,24.3,28.0,82.6,34,1.000,254.6,2.23,87,Flag
MADEP_W0486_T1,25.6,27.6,99.6,34,1.000,180.5,0.66,84,
MADEP_W0494_T1,25.6,27.5,94.9,34,1.000,205.4,0.53,97,
MADEP_W0514_T1,22.3,24.3,69.2,34,1.000,297.6,1.12,108,
MADEP_W0551_T1,19.1,20.2,11.5,33,0.971,568.5,0.36,93,
MADEP_W0557_T1,24.7,26.4,87.2,34,1.000,179.6,0.49,98,
MADEP_W0568_T1,26.8,28.6,110.9,34,1.000,198.3,0.45,46,
MADEP_W0624_T1,22.8,24.7,74.6,34,1.000,280.0,0.41,100,
MADEP_W0661_T1,24.2,26.3,84.4,34,1.000,213.6,0.43,100,
MADEP_W0665_T1,22.9,24.9,74.9,34,1.000,282.2,0.42,100,
MADEP_W0889_T1,22.5,24.8,78.5,34,1.000,281.9,1.20,95,
MADEP_W0989_T1,20.7,21.7,44.1,34,1.000,388.5,0.37,23,
MADEP_W0995_T1,20.2,22.7,32.0,34,1.000,421.4,0.98,84,
MADEP_W0998_T1,25.3,27.2,102.2,34,1.000,189.2,0.66,84,
MADEP_W1022_T1,23.0,24.4,77.2,34,1.000,246.2,0.55,108,
MADEP_W1031_T1,26.5,28.1,121.4,34,1.000,286.9,0.85,117,
MADEP_W1061_T1,25.9,27.5,106.7,34,1.000,193.2,0.66,71,
MADEP_W1098_T1,25.3,27.1,101.7,34,1.000,210.4,1.09,112,
MADEP_W1100_T1,26.4,28.3,121.1,34,1.000,359.6,1.16,112,
MADEP_W1113_T1,27.2,28.9,118.9,34,1.000,344.6,1.38,112,
MADEP_W1151_T1,27.7,29.4,121.4,34,1.000,292.1,1.06,115,
MADEP_W1357_T1,20.9,22.2,39.1,34,1.000,339.0,0.40,36,
MADEP_W1358_T1,21.1,22.7,41.2,34,1.000,327.4,0.44,36,
MADEP_W1410_T1,24.3,25.6,81.1,34,1.000,196.4,0.56,32,
MADEP_W1419_T1,26.5,28.6,97.0,34,1.000,172.1,0.91,70,
MADEP_W1432_T1,26.2,27.8,109.2,34,1.000,212.9,1.03,110,
MADEP_W1466_M1,21.7,23.5,46.6,34,1.000,214.4,0.82,6,
MADEP_W1563_T1,19.5,21.1,18.4,34,1.000,336.6,1.00,112,
MADEP_W1571_T1,25.8,28.0,101.5,34,1.000,195.3,1.06,112,
MADEP_W1574_T1,23.5,25.5,77.5,34,1.000,216.0,1.28,112,
MADEP_W1588_T1,25.2,26.9,95.3,34,1.000,153.2,1.02,115,
MADEP_W1718_T1,30.3,31.5,198.3,34,1.000,820.8,1.17,104,
MADEP_W1719_T1,30.5,31.6,197.0,34,1.000,827.3,1.19,104,
MADEP_W1721_T1,24.0,25.3,91.3,34,1.000,192.8,1.10,89,
MADEP_W1722_T1,23.1,24.0,165.7,34,1.000,363.6,1.02,89,
MADEP_W1724_T1,23.8,25.5,83.6,34,1.000,193.0,1.15,83,
MADEP_W1725_T1,23.8,25.5,83.3,34,1.000,185.7,1.12,83,
MADEP_W1753_T1,21.7,23.1,62.9,34,1.000,275.3,0.45,108,
MADEP_W1769_T1,22.7,24.3,61.6,34,1.000,269.8,0.64,108,
MADEP_W1774_T1,24.6,28.9,105.5,34,1.000,291.4,1.89,108,Flag
MADEP_W1775_T1,20.9,23.3,42.0,34,1.000,361.1,0.71,106,
MADEP_W1776_T1,20.8,23.1,67.6,34,1.000,371.6,1.48,106,Flag
MADEP_W1777_T1,25.8,27.5,102.6,34,1.000,149.8,0.73,108,
MADEP_W1782_T1,21.1,22.7,39.1,34,1.000,368.3,0.76,61,
MADEP_W1789_T1,21.9,23.7,59.5,34,1.000,330.5,0.37,74,
MADEP_W1799_T1,25.9,27.1,135.9,34,1.000,378.1,1.38,74,
MADEP_W1809_T1,22.9,24.9,66.1,34,1.000,177.2,0.51,94,
MADEP_W1818_T1,22.4,23.9,63.1,34,1.000,246.9,0.57,94,
MADEP_W1820_T1,23.0,24.5,77.4,34,1.000,213.5,0.65,94,
MADEP_W1822_T1,21.1,22.5,48.9,34,1.000,294.0,0.64,94,
MADEP_W1823_T1,20.9,22.4,40.6,34,1.000,326.5,0.69,94,
MADEP_W1824_T1,26.3,28.1,106.8,34,1.000,231.1,0.75,84,
MADEP_W1827_T1,21.5,25.1,54.5,34,1.000,320.5,0.96,68,
MADEP_W1853_T1,22.7,24.5,69.1,34,1.000,238.4,0.44,113,
MADEP_W1854_T1,23.7,25.5,82.1,34,1.000,184.5,0.53,105,
MADEP_W1855_T1,20.2,21.8,29.1,34,1.000,394.4,0.70,101,
MADEP_W1863_T1,21.0,22.7,41.2,34,1.000,308.3,0.53,105,
MADEP_W1877_T1,25.6,27.6,93.9,34,1.000,183.1,0.64,97,
MADEP_W1909_T1,19.2,20.8,18.4,34,1.000,442.5,0.55,107,
MADEP_W1911_T1,19.2,20.7,24.4,34,1.000,409.0,0.47,107,
MADEP_W1912_T1,20.7,22.4,66.1,34,1.000,292.4,0.55,107,
MADEP_W1935_T1,26.5,28.2,110.4,34,1.000,217.1,0.52,93,
MADEP_W1937_T1,19.1,21.9,9.4,30,0.882,583.3,0.42,93,
MADEP_W1938_T1,22.2,23.5,61.0,34,1.000,321.8,0.34,93,
MADEP_W1941_T1,21.8,23.0,62.3,34,1.000,328.1,0.45,93,
MADEP_W1943_T1,26.2,27.9,103.6,34,1.000,162.8,0.57,93,
MADEP_W1953_T1,22.6,23.8,78.8,34,1.000,271.2,0.44,93,
MADEP_W1958_T1,24.0,26.0,85.8,34,1.000,214.5,0.48,100,
MADEP_W1959_T1,24.9,26.8,91.7,34,1.000,166.6,1.21,100,
MADEP_W1965_T1,25.8,27.2,112.1,34,1.000,220.6,0.63,59,
MADEP_W1967_T1,29.1,30.7,131.2,34,1.000,385.5,0.84,44,
MADEP_W1969_T1,26.0,27.4,116.4,34,1.000,210.0,0.43,59,
MADEP_W1973_T1,27.3,28.6,138.0,34,1.000,353.7,0.78,72,
MADEP_W1975_T1,28.1,29.5,142.0,34,1.000,407.6,0.70,72,
MADEP_W2002_T1,22.2,23.9,65.2,34,1.000,257.6,0.51,113,
MADEP_W2003_T1,24.1,25.9,82.9,34,1.000,168.8,0.62,113,
MADEP_W2004_T1,24.2,25.9,83.8,34,1.000,165.7,0.63,113,
MADEP_W2006_T1,19.2,20.1,32.2,34,1.000,438.3,1.07,126,
MADEP_W2007_T1,21.8,23.3,71.8,34,1.000,298.0,0.60,126,
MADEP_W2008_T1,21.9,23.5,71.0,34,1.000,294.8,0.59,126,
MADEP_W2033_T1,24.8,26.6,93.0,34,1.000,183.7,0.56,109,
MADEP_W2034_T1,25.2,27.1,97.1,34,1.000,172.1,0.59,109,
MADEP_W2039_T1,22.0,23.5,57.7,34,1.000,351.4,0.49,109,
MADEP_W2040_T1,19.3,20.5,13.6,33,0.971,556.7,0.65,109,
MADEP_W2043_T1,21.4,22.7,49.9,34,1.000,388.7,0.58,109,
MADEP_W2045_T1,22.5,24.1,62.2,34,1.000,322.9,0.66,93,
MADEP_W2053_T1,25.7,27.5,97.9,34,1.000,160.1,0.58,109,
MADEP_W2057_T1,25.5,27.0,100.3,34,1.000,172.0,0.52,65,
MADEP_W2059_T1,21.9,23.6,58.2,34,1.000,283.4,0.43,74,
MADEP_W2061_T1,22.8,24.2,90.7,34,1.000,250.8,0.39,86,
MADEP_W2071_T1,16.7,19.2,2.0,1,0.029,708.0,0.36,36,
MADEP_W2074_T1,22.5,25.3,77.0,34,1.000,198.5,0.65,108,
MADEP_W2080_T1,25.3,28.6,110.4,34,1.000,197.8,0.85,101,
MADEP_W2085_T1,17.0,19.6,1.5,4,0.118,719.2,0.48,108,
MADEP_W2128_T1,20.7,21.9,35.8,34,1.000,410.8,1.57,49,Flag
MADEP_W2129_T1,24.2,25.6,88.6,34,1.000,166.2,0.85,131,
MADEP_W2130_T1,21.7,23.1,70.1,34,1.000,294.1,1.79,131,Flag
MADEP_W2131_T1,22.9,24.3,72.5,34,1.000,215.6,1.53,75,Flag
MADEP_W2132_T1,20.8,22.3,34.1,34,1.000,423.3,1.55,41,Flag
MADEP_W2133_T1,26.2,27.9,100.7,34,1.000,152.7,1.32,131,
MADEP_W2134_T1,27.3,28.8,118.6,34,1.000,294.5,1.67,131,Flag
MADEP_W2135_T1,24.6,25.8,113.7,34,1.000,220.5,1.86,150,Flag
MADEP_W2136_T1,24.8,26.3,98.9,34,1.000,173.0,1.40,150,
