agency,site,date,temp,Latitude,Longitude
CTDEP,CTDEP_1,1/1/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/2/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/3/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/4/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/5/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/6/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/7/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/8/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/9/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/10/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/11/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/12/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/13/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/14/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/15/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/16/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/17/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/18/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/19/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/20/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/21/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/22/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/23/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/24/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/25/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/26/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/27/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/28/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/29/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/30/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,1/31/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/1/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/2/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/3/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/4/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/5/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/6/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/7/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/8/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/9/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/10/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/11/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/12/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/13/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/14/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/15/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/16/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/17/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/18/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/19/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/20/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/21/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/22/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/23/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/24/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/25/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/26/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/27/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/28/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,2/29/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,3/1/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,3/2/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,3/3/2008,NA,41.186433,-73.342933
CTDEP,CTDEP_1,3/4/2008,NA,41.186433,-73.342933
